,Date,Title,Content,Category,Image_link,Article_link
0,2020/02/06,Bengaluru Raptors storm into semifiinals,"The brilliance of Brice Leverdez and captain B. Sai Praneeth helped defending champion Bengaluru Raptors outplay Awadhe Warriors 5-0 And enter the semifinal of the Premier Badminton League at the Gachibowli Indoor Stadium here on Thursday.

Warriors got off to a perfect start with the men’s combine of Ko Sung Hyun and Shin Baek Cheol scoring an impressive win over Arun George and Rian Agung Saputro.

Raptors’ World No. 39 Brice Leverdez cruised past World No. 64 Ajay Jayaram in the Trump match for the latter. The former overcame a hesitant start — he looked rattled by Jayaram’s deceptive shots at the net — to score six points in a row in the first game and wrap it up in quick time.

In the second, Leverdez was more aggressive as he took a comfortable 8-2 lead only to see Jayaram fight back with a solid net game. However, the Raptors shuttler shifted gears and came up with telling smashes to win five straight points and seal the contest.

Tai Tzu on song

World No. 2 Tai Tzu Ying outslugged a defiant World No. 14 Beiwen Zhang in women’s singles, warding off a spirited comeback by the latter midway through the second game.

Tai swung the match in her favour whenever her opponent gained ground with impeccable drop shots.

With a 2-0 cushion, World No. 11 B. Sai Praneeth, playing the Trump match for Raptors, warded off a spirited challenge from World No. 41 Wong Wing Ki Vincent and gave his team an unbeatable 4-0 lead.

Sai Praneeth’s ability to get his smashes right whenever he was under pressure proved decisive in the final analysis.

Raptors joined North-Eastern Warriors, Chennai Superstarz and Pune 7 Aces in the semifinals.

The results: Bengaluru Raptors bt Awadhe Warriors 5-0 (Arun George & Rian Agung Saputro lost to Ko Sung Hyun & Shin Beak Cheol 15-14, 7-15, 11-15; Brice Leverdez bt Ajay Jayaram (T) 15-9, 15-9; Tai Tzu Ying bt Beiwen Zhang 15-12, 15-12; B. Sai Praneeth (T) bt Wong Wing Ki Vincent 15-11, 15-13; Chan Peng Soon & Eom Hye Won bt Ko Sung Hyun & Christinna Pedersen 7-15, 15-12, 15-11).",other sports,https://www.thehindu.com/sport/other-sports/bvj3yw/article30755399.ece/ALTERNATES/LANDSCAPE_615/TH07SAI,https://www.thehindu.com/sport/other-sports/bengaluru-raptors-storm-into-semifiinals/article30755400.ece
1,2020/02/06,Sharath tames Sathiyan and Harmeet as Indian Oil clinches title,"For years, the best team final in the country’s table tennis has been witnessed in the Petroleum inter-unit tournament, and not the National championship.

This is bound to happen since the Petroleum sector uses the services of every member of the National team. The resultant clash involves those forming the creamy layer of Indian table tennis in both sections.

In the men’s team final that lived up to expectations, Indian Oil’s Sharath Kamal and Manav Thakkar joined hands to end the unbeaten run of Oil and Natural Gas Corporation since 2015 with a 3-2 win at the Thyagaraj Sports Complex here on Thursday.

Blistering form

Riding on Sharath’s blistering form, Indian Oil twice levelled the match with the nine-time National champion beating World No. 30 G. Sathiyan and the newly-crowned National champion Harmeet Desai..

ONGC, which had taken the lead when Desai scored over Thakkar in the repeat result of the recent National final, and again when former National champion A. Amalraj beat Sudhanshu Grover, now looked at Sathiyan to pull off the deciding singles.

Thakkar, who stunned Sathiyan in the National semifinals at Hyderabad on Sunday, started slowly and conceded the opening set. In the next two, Thakkar came back strongly with some well-measured backhand placements to repeatedly fox Sathiyan.

In the fourth and fifth sets, Sathiyan opened up 4-0 leads but with contrasting outcomes. Though he managed to win the fourth to force the decider, he could not prevent Thakkar from making it 4-4 and 6-6 before trailing for the first time in the decider.

Though Thakkar squandered a match-point, he regained his composure to win 12-10 and became a member of Indian Oil’s winning team for the first time. The triumph was a kind of revenge for Indian Oil which was upstaged in the women’s team final on Wednesday evening.

Having beaten ONGC in the league stage, Indian Oil did not spare much thought in finalising its combination in the final. The decision to make youngster Diya Chithale play two singles and the National runner-up Krittwika Sinha Roy one backfired.

Manika Batra twice levelled the tie-score by winning her singles but found no support from her Indian Oil teammates. Diya lost the first singles to Ankita Das and Krittiwika surprisingly surrendered to Divya Despande in the third. In the fifth, Pooja Sahasrabudhe overpowered Diya to clinch it for ONGC.

The results: Team championship (finals): Men: Indian Oil bt ONGC 3-2 (Manav Thakkar lost to Harmeet Desai 8-11, 6-11, 7-11; Sharath Kamal bt G. Sathiyan 5-11, 11-9, 11-7, 11-9; Sudhanshu Grover lost to A. Amalraj 5-11, 5-11, 8-11; Sharath bt Desai 9-11, 11-6, 11-3, 10-12, 11-4; Thakkar bt Sathiyan 9-11, 11-7, 11-7, 4-11, 12-10).

Women: ONGC bt Indian Oil 3-2 (Ankita Das bt Diya Chithale 11-7, 11-8, 11-3; Pooja Sahasrabudhe lost to Manika Batra 11-13, 9-11, 8-11; Divya Deshpande bt Krittwika Sinha Roy 8-11, 11-8, 11-7, 11-8; Ankita lost to Manika 7-11, 8-11, 12-10, 7-11; Pooja bt Diya 11-5, 11-9, 11-13, 11-9).",other sports,https://www.thehindu.com/sport/other-sports/zaoro9/article30754956.ece/ALTERNATES/LANDSCAPE_615/TH07ONGC,https://www.thehindu.com/sport/other-sports/sharath-tames-sathiyan-and-harmeet-as-indian-oil-clinches-title/article30754957.ece
2,2020/02/06,Pardeep Singh wins men’s 102kg gold at national weightlifting tournament,"Pardeep Singh bettered his snatch record with an effort of 151kg and went on to win the men’s 102kg gold medal in the National weightlifting championships at the Khudiram Anusilan Kendra here on Thursday.

Pardeep, who had 150kg and 201kg in snatch and clean and jerk for a total of 351kg in the Asian championships in Ningbo (China) last year, improved his own snatch record by one kg.

He began the clean and jerk with 185 and lifted 195 on his second attempt. With an aim to improve his clean and jerk and total records, the Railways lifter, who had settled for a bronze with 321kg in the previous Nationals, entered 203 in his concluding effort but could not achieve the target.

Vikas shines

Vikas Thakur, another prominent lifter, totalled 346kg, including 154 in snatch and 192 in clean and jerk. This was three kilos below his performance in the Asian championships last year, but won him the 96kg crown comfortably. The Services lifter had 152 and 197 in the two segments to finish fourth in the continental event.

“Both Pardeep and Vikas are peaking nicely for the Asian championships in Kazakhstan in April.

“They are at about 90 per cent of their ability and we expect some good results from them this time,” said National coach Vijay Sharma.

Sharsti ‘snatch’es gold

Sharsti Singh rode on her superior snatch to aggregate 205kg for the women’s 81kg title. The 10kg lead in snatch proved decisive for her as she did an identical 112kg in clean and jerk with the second-placed Baljinder Kaur.

The results: Men: 96kg: 1. Vikas Thakur (SSCB) (snatch 154, clean and jerk 192, total 346); 2. Jagdish Vishwakarma (Cht) (147, 180, 327); 3. Suresh Yadav (Odi) (140, 170, 310).

102kg: 1. Pardeep Singh (RSPB) (151kg — NR; Old 150, Pardeep], 195, 346; 2. Shubham (SSCB) (145, 180, 325); 3. Ashutosh Kumar Singh (Utk) (140, 176, 316).

Women: 76kg: Deepika Handa (Chd) (92, 119, 211); 2. R. Arockiya Alish (TN) (89, 118, 207); 3. A. Tumina Devi (Mani) (83, 104, 187).

81kg: 1. Sharsti Singh (RSPB) (93, 112, 205); 2. Baljinder Kaur (Chd) (83, 112, 195); 3. T. Dharshini (TN) (85, 109, 194).

87kg: 1. P. Anuradha (RSPB) (97, 122, 219); 2. Madhusmita Baruah (Asm) (87, 113, 200); 3. Anu (Pun) (86, 110, 196).

Plus 87kg: 1. Monika (RSPB) (95, 115, 210 — NR; Old 208, Ashwini Malage]; 2. Ashwini Malage (Mah) (89, 119 — [NR; Old, 117, Jasbir Kaur], 208; 3. Jasbir Kaur (Pun) (89, 117, 206).",other sports,https://www.thehindu.com/sport/other-sports/3j4u88/article30754904.ece/ALTERNATES/LANDSCAPE_615/TH07LIFT,https://www.thehindu.com/sport/other-sports/pardeep-singh-wins-mens-102kg-gold-at-national-weightlifting-tournament/article30754905.ece
3,2020/02/06,Will try to win medals in CWG and Asiad: Sanjita,"After winning the women’s 49kg silver in the National weightlifting championships here, K. Sanjita Chanu may have stepped on the road to redemption but still wonders what the doping episode, which stole more than a year of her career, has in store for her.

A Commonwealth Games champion in 53kg, Sanjita was handed a provisional suspension by the International Weightlifting Federation (IWF) in the World championships in the USA in 2017. However, her case courted controversy due to several procedural lapses.

The IWF, which revoked her provisional suspension about a year ago, has been tight-lipped over the case and has not delivered the final decision yet.

“I am sad that they are not giving any final decision. I came here to compete but the thought kept coming that more than one year was wasted. My name and life got spoiled and we don’t know yet the exact reason why it happened. This should not happen to anybody else,” Sanjita told The Hindu.

“After that episode, I thought of quitting. Then I thought, ‘why should I quit like this? I have not taken anything that is banned.’”

Big relief

Two successful lifts, one each in snatch and clean and jerk, amid distinct nervousness helped Sanjita come a distant second with a total of 185kg behind Mirabai Chanu. But it came as a big relief for the 26-year-old from Manipur.

“I was nervous. I was making a comeback after such an episode and everybody was watching me. I had tension and the body got tight because of that. That’s why I dropped most of the lifts.

“After the 2018 Commonwealth Games, I am competing now in a big event. I competed in 53kg in my last Nationals in 2018. Last year, I did not have much time to compete in the National. No one allowed me to train because of the doping story and there was no facility at home. I competed in inter-Railways and slowly got into the training mode.

“Since I struggled to increase my body weight, it would have been difficult to go up to 55kg after the shuffle in weight divisions. That’s why I chose 49kg. I did 88kg and 113kg in the inter-Railways and had hoped to repeat it here.”

Sanjita was hopeful of reviving her career. “I will improve my performance and will try to win medals in the Commonwealth and Asian Games,” said Sanjita.",other sports,https://www.thehindu.com/sport/other-sports/2vkt8y/article30755372.ece/ALTERNATES/LANDSCAPE_615/TH07CHANU,https://www.thehindu.com/sport/other-sports/will-try-to-win-medals-in-cwg-and-asiad-sanjita/article30752636.ece
4,2020/02/06,Wrestling Federation of India confident about approval for Chinese delegation’s participation in Asian meet,"Even as the world grapples with the Coronavirus and its spread, the Wrestling Federation of India is confident of the government agreeing to allow the Chinese delegation for the upcoming Asian Championships here.

India has stopped e-visa facility for Chinese visitors and there are doubts on their participation due to health concerns since wrestling is a contact sport with a high possibility of infection. “Chinese officials have claimed that the 40-member delegation has been tested and quarantined, and cleared of any infection. Even if they do come, they will have to follow the due process of being tested on arrival,” WFI president Brij Bhushan Sharan Singh said here on Wednesday.

He added that the federation had already written to the MEA and was confident of getting a positive response for both the Chinese and Pakistan delegations. Sports Minister Kiren Rijiju, however, said a final call would be taken by the MEA in consultation with the Health Ministry. “We cannot take any risk, especially in an Olympic year. It is an extraordinary situation and we will act accordingly,” Rijiju said.

The Asian Championships will be held from February 18-23.

Asked about Sushil Kumar’s chances of making it to Tokyo 2020, Brij Bhushan insisted that the federation would not allow a repeat of the 2016 fiasco and controversies that saw India go unrepresented in the 74kg category at Rio.",other sports,https://www.thehindu.com/static/theme/default/base/img/og-image.jpg,https://www.thehindu.com/sport/other-sports/wrestling-federation-of-india-confident-about-approval-for-chinese-delegations-participation-in-asian-meet/article30746431.ece
5,2020/02/06,Weightlifting | A new record — and gold — for Lapung,"Services lifter Sambo Lapung scripted a new National record of 188kg in clean and jerk on his way to the gold medal in the men’s 89kg in the National weightlifting championships at the Khudiram Anusilan Kendra here on Wednesday.

Lapung, who had secured the silver medal in 81kg last year, hoisted 145kg to take a one kg lead over R.V. Rahul in snatch. Later, he broke the clean and jerk record of 187kg in his final attempt to aggregate 333kg.

Hailing from Arunachal Pradesh, Lapung — a former National champion in 69kg — won a National title after four years. “I switched to 89kg immediately after the last Nationals. I was getting injured for lowering my body weight too much. Am happy to create a new record,” said Lapung.

Railways’ Rahul was second with 323kg, while Ram Karan Prajapati — another Services lifter representing Uttarakhand — got the third place with 314kg.

Below-par show

Despite her below-par performance, local girl Rakhi Halder won the women’s 64kg crown with 210kg.

Rakhi’s effort earned her a comfortable victory as her nearest competitor Harjinder Kaur registered 200kg.

However, the total of 210kg was below her best showing of 218kg, including 95kg in snatch and 123kg in clean and jerk, in the Qatar Cup Olympic qualifying event in December.

The 26-year-old, who lifted 93kg in her final snatch attempt, managed 117kg in her first clean and jerk effort. Gritting her teeth, she tried to raise the bar in her next two attempts — including her bid to do 125kg in the last — but did not get the desired result.

“My sore left thigh prevented a smooth action. I will try to improve and qualify for the Olympics,” said Rakhi, who had totalled 214kg in the World championships in Pattaya in September last.

The results: Men, 81kg: 1. Papul Changmai (SSCB) snatch 145kg, clean and jerk 172kg, total 317kg; 2. Amarjit Guru (RSPB) 137kg, 172kg, 309kg; 3. U. Sivaprakash (Pud) 136kg, 171kg, 307kg. 89kg: 1. Sambo Lapung (SSCB) 145kg, 188kg [NR, Old 187kg, Harshad Wadekar], 333kg; 2. R.V. Rahul (RSPB) 144kg, 179kg, 323kg; 3. Ram Karan Prajapati (Ukd) 138kg, 176kg, 314kg.

Women, 64kg: 1. Rakhi Halder (WB) 93kg, 117kg, 210kg; 2. Harjinder Kaur (Chd) 90kg, 110kg, 200kg; 3. K. Roshilata Devi (Mani) 80kg, 107kg, 187kg.",other sports,https://www.thehindu.com/sport/other-sports/wpwr6l/article30746290.ece/ALTERNATES/LANDSCAPE_615/TH06SAMBO,https://www.thehindu.com/sport/other-sports/weightlifting-a-new-record-and-gold-for-lapung/article30746291.ece
6,2020/02/06,"Racing | Breen, Nagle to spearhead MRF’s European Rally campaign","Team MRF Tyres will be back on the international rally stage in 2020 with a full season European Rally Championship campaign. Ireland’s Craig Breen and co-driver Paul Nagle will spearhead the campaign driving a Hyundai i20 R5 prepared by the Italian BRC Racing Team.

The first round of the Championship is the Azores Rallye, which will take place on the Portuguese island from March 26-28.

Breen has competed in 61 WRC rallies, twice finishing on the podium.

He is the reigning Irish Tarmac Rally Champion and finished second in the 2015 European Rally Championship.

Nagle has won five WRC events as a co-driver. Now back with Breen, they bring a wealth of experience to the MRF Tyres team.

The MRF Tyres Rally team has won the FIA Asia Pacific Rally Championship (APRC) nine times and made an entry into the World Rally Championship in 2018 in the WRC2 class for gathering data for product development. The 2020 European Rally Championship represents the next big step for MRF Tyres.",other sports,https://www.thehindu.com/static/theme/default/base/img/og-image.jpg,https://www.thehindu.com/sport/other-sports/racing-breen-nagle-to-spearhead-mrfs-european-rally-campaign/article30746214.ece
7,2020/02/06,Shooting | Olympic selection trials from Feb. 20,"The National Rifle Association of India (NRAI) has announced Olympics selection trials in rifle, pistol and shotgun for those shooters who do not have the required number of scores to rate them as per the selection policy.

The trials will be held at the Dr. Karni Singh Range, Tughlakabad, from February 20 to 25.

Tejaswini Sawant and Yashaswini Singh Deswal are the only two who have won the Olympic quota and would be subject to these trials, which are basically meant for shooters in the periphery.

Former world champion Tejaswini who won the Olympic quota in rifle 3-position event will require to shoot one trial.

As per the policy, the Olympic quota winners would automatically get selected for the World Cup to be staged in Delhi in March.

In the case of Yashaswini, whose name figures in the list, it has been announced that it would suffice if she shoots the World Cup in Delhi, to render the required number of scores for consideration for Olympic selection.

Sheoran, Swapnil in hunt

Akhil Sheoran and Swapnil Kusale will be shooting the trials in men’s rifle 3-position event in which the Olympic quotas were won by Sanjeev Rajput and Aishwary Pratap Singh Tomar.

In an event like men’s air pistol, in which Saurabh Chaudhary and Abhishek Verma won two gold medals each in the World Cups last yar, there will be trials for Shahzar Rizvi, Omprakash Mitharval, Arjun Singh Cheema and Ravinder Singh.

Interestingly, even in men’s rapid fire pistol event, in which India has not won an Olympic quota, there will be trials for Gurpreet Singh, Arpit Goel and Bhavesh Shekhawat.

Same is the case in men’s trap in which Manavjit Singh Sandhu, Lakshay Sheoran, Zoravar Singh Sandhu and Vivaan Kapoor have been called for trials.

For the first time in 20 years, the Indian trap team has not won an Olympic quota.

There will be trials for women’s trap and skeet as well, even though there is no quota as yet available.

Options open

Since the National federation has the option of swapping some of the Olympic quota places, it has perhaps tried to keep all its options open by getting everyone ready for the Olympic race.

Except for rare instances, the Olympic quota winners have all been pretty strong in holding on to their supremacy with good performances in their events so far.",other sports,https://www.thehindu.com/static/theme/default/base/img/og-image.jpg,https://www.thehindu.com/sport/other-sports/shooting-olympic-selection-trials-from-feb-20/article30746190.ece
8,2020/02/06,PBL | Aces move into last four,"Pune 7 Aces scored a hard-fought 2-1 win over Hyderabad Hunters to take its tally to 20 and qualified for the semifinals of the Premier Badminton League at the Gachibowli Indoor Stadium here on Wednesday.

Hunters finished their engagements with 11 points and bowed out.

In men’s doubles, Aces’ Chirag Shetty and former World champion Hendra Setiawan combined well to outplay Ben Lane and Sean Vendy.

The 18-year-old Priyanshu, ranked World No. 284 and playing the Trump match for Hunters, lost to the more experienced Mithun Manjunath in a thriller.

In the first game, Manjunath’s better court coverage and telling smashes helped him win 15-11. A more aggressive Priyanshu won the second, predominantly scoring points with down-the-line smashes. In the decider, Manjunath raced away to an 8-2 lead before Priyanshu levelled, clinching the next six points.

With the match tied at 13, Priyanshu returned deep, but saw Mithun unleash two powerful cross-court returns which saw no reply.

“The shuttle was very fast and I was playing my first match in the PBL. It is a very satisfying win in a very tough match,” said a delighted Mithun.

P.V. Sindhu ensured Hunters got their first point when she outclassed the young and inexperienced Rituparna Das.

In mixed doubles, a Trump match for Aces’ Chris Adcock and Gabrielle Adcock, the left-right combine of Vladimir Ivanov and N. Sikki Reddy of Hunters won the battle of big smashes and smart net-play to make it 1-1.

World No. 37 Loh Kean Yew of Pune defeated World No. 28 Sourabh Verma in the final contest to seal it for Aces.

The results: Pune 7 Aces bt Hyderabad Hunters 2-1 (Chirag Shetty & Hendra Setiawan 15-12, 15-9; Mithun Manjunath bt Priyanshu Rajawat (T) 15-11, 11-15, 15-13; Rituparna Das lost to P.V. Sindhu 7-15, 8-15; Chris Adcock & Gabrielle Adcock (T) lost to Vladimir Ivanov & N. Sikki Reddy 9-15, 15-11, 8-15; Loh Kean Yew bt Sourah Verma 15-14, 15-10).",other sports,https://www.thehindu.com/sport/other-sports/rjdfq0/article30746071.ece/ALTERNATES/LANDSCAPE_615/TH06PBL,https://www.thehindu.com/sport/other-sports/pbl-aces-move-into-last-four/article30746072.ece
9,2020/02/06,South Korea’s Soonwoo Kwon has the final say against Prajnesh,"The Indian challenge in singles at the Tata Open Maharashtra ended on Thursday following Prajnesh Gunneswaran’s 6-3, 7-6(5) defeat at the hands of the South Korea’s Soonwoo Kwon.

The India No. 1 displayed much attacking verve and constantly took up aggressive court positions. But Kwon, the tournament’s fourth seed, while being resolute in defence, also transitioned seamlessly into attack mode. On the day, he would hit one winner more than Prajnesh (22 to 21) and commit 12 errors fewer (35 to 47).

Trading breaks

The match started capriciously, with the two trading breaks in the first two games. Down a break-point at 2-3, Prajnesh dumped an easy overhead into the net. It was not long before Kwon won the first set 6-3.

“I lost that set pretty much because of that smash,” Prajnesh said later. “I started well. Broke rightaway, but missed too many first serves. I should have held that serve. I was a little bit rusty with my forehands. I missed a lot of cross-courts I used to open up the court.”

Better display

Prajnesh played a much better second set, staying with his opponent for the first eight games. But the World No. 88 upped his level in the ninth, earning mutiple break points.

But Prajnesh proved equal to the task by saving four of them before holding serve with an ace and an expansive forehand winner.

Swinging it his way

The match slipped into a tie-break and there Kwon outshone Prajnesh.

At 3-3, the 22-year-old hit an ace and then when Prajnesh sent a forehand wide, Kwon had the match on his racquet.

The Indian netted a backhand to give Kwon two match points and the South Korean took it on the second, putting away an easy forehand volley.

“I don’t think I played a bad match,” said Prajnesh. “I am not much better than him, but at the same time not much worse. So they were really small margins. But these are the kind of matches I should be winning consistently. Like, three... four matches in a row. I don’t think I am far away but I need to be more consistent.”

Italian shock for Paire

Top seed Benoit Paire turned in an abject performance to crash out in the first round. The World No. 19 lost 6-4, 6-4 to Italian Roberto Marcora, ranked a whopping 155 places below him.

Marcora broke in the fifth game of the first set to take it 6-4. He broke at a similar stage in the second but Paire came back immediately to restore parity. But Marcora broke again to 5-4 and saved two break points to emerge victorious.

The results:

Singles (second round): Soonwoo Kwon (Kor) bt Prajnesh Gunneswaran 6-3, 7-6(5); James Duckworth (Aus) bt Taro Daniel (Jpn) 6-7(4), 7-6(6), 6-3; Egor Gerasimov (Blr) bt Nikola Milojevic (Srb) 2-6, 6-3, 6-2.

On Wednesday: Doubles (first round): Benoit Paire & Antoine Hoang (Fra) bt Rohan Bopanna & Arjun Kadhe 3-6, 7-5, [10-7].",tennis,https://www.thehindu.com/sport/tennis/eg42hj/article30755282.ece/ALTERNATES/LANDSCAPE_615/TH07KWON,https://www.thehindu.com/sport/tennis/south-koreas-soonwoo-kwon-has-the-final-say-against-prajnesh/article30755283.ece
