,Date,Title,Article,Category,Image_link,Article_link
0,15-1-20,The GOP problem,"Rising vegetable prices have driven consumer inflation to new highs. Get agricultural management back on track

The dramatic increase in vegetable prices this winter, particularly of core products such as garlic, onions and potatoes (GOP), is finally reflecting on inflation statistics. The Government’s own data, released by the National Statistical Office (NSO), has confirmed our worst fears of not just a slowdown but a guttural halt as retail inflation rose by 7.35 per cent last December, which is the highest since July 2014. This can be attributed to a significant rise in food prices, which saw a marked rise from 10.01 per cent in November to 14.12 per cent in December last year. This points to various problems for the Government and the Reserve Bank of India (RBI). The latter has little wiggle room for rate cuts and can do little to spur economic activity. This is actually the first time that the relatively new Monetary Policy Committee (MPC), that adjusts interest rates, will face such a challenge. Until now, the MPC has moved them downward in an effort to boost the economy. Already, banks are desperately trying to repair their loan books that are crippled by non-performing assets (NPAs) and consumers are not biting for real estate loans. Increasing rates to control inflation and spending will only drive consumer spending further downwards, putting the economy under even more pressure. But there is also that other issue of produce management. Over the past few years, the Government has for the large part stabilised food prices with smart management of produce ever since it got burnt by rising pulse prices a few years ago. But this year, the price of onion has seemed to belie expectations. There has been a four-fold increase in the rate of this staple food since June last. This, coupled with an equal rise in garlic and potatoes and other vegetables, has seemingly caught everyone — from everyday consumers to the Government — completely off the guard.

But the GOP problem, as we have termed the situation, is making a “bad” scenario even “worse.” With the economy in the doldrums, job creation at multi-year lows and consumer demand collapsing, the Government finds itself on a sticky wicket. While crop and produce management can be better managed in the coming seasons — the winter of 2019-2020 can be seen as an aberration — getting demand to pick up again is a challenge, particularly with the Government’s ability for limited spending. The Narendra Modi-led Government has ambitious social welfare schemes and they have cost money. Until the economy gets going again, the funds to keep such spending going will also be constrained. The Budget is on its way in a few weeks time. While bureaucrats in the Finance Ministry are working overtime, can the Government really afford an income tax rate cut, as many believe? There is a significant amount of anger in the general population, one that has manifested itself in the anti-Citizenship Amendment Act (CAA) protests, which have for the large part been contained. But the Government and its advisors must be acutely aware that things are on a knife-edge. Pretending that everything is normal will not help. It will be of help if the Government seeks the advice of in-house experts on prevailing matters to get going. For now, it has to manage produce prices and understand that while spud prices may not bring the people on the streets today, tomorrow tomato prices or something else just might.",columnists,https://www.dailypioneer.com/uploads/2020/story/images/big/the-gop-problem-2020-01-15.jpg,https://www.dailypioneer.com/2020/columnists/the-gop-problem.html
1,15-1-20,Police commissioner system won’t check crimes: Akihlesh,"Samajwadi Party chief Akhilesh Yadav flayed the Yogi Adityanath government for introducing police commissionerate system in the state.

“Nothing will change and the crime graph will not go down with new experiments on daily basis. The police commissioner system will make no impact in checking the crimes by merely changing and appointing new officers,” the SP chief said.

“It’s a confession of failure by Chief Minister Yogi Adityanath that he has failed to check crimes even after three years in office. There is no let-up in heinous crime incidents like rape, murder, loot & dacoity, and abductions,” Yadav said.

Terming the police commissioner system yet another gimmick by the BJP government, Akhilesh said: “The BJP government has introduced the police commissioner system only to divert the attention of people who are at the receiving end of police repression.”

On Tuesday, Akhilesh met several delegations of sportspersons and political leaders. He asked them to pull up their socks for the victory of Samajwadi Party and enable it to form the government in UP after the 2022 assembly elections. He alleged that the sole agenda of the BJP was to divide the society on caste and communal grounds and cause polarisation of people on religious lines. He said time has come to get rid of the divisive politics of BJP and bring a new government which would work for all sections of the society irrespective of caste and creed.",state-editions,https://www.dailypioneer.com/images/logo.jpg,https://www.dailypioneer.com/2020/state-editions/police-commissioner-system-won---t-check-crimes--akihlesh.html
2,15-1-20,Police commissioner system a gimmick: Lallu,"Uttar Pradesh Congress president, Ajay Kumar Lallu on Tuesday flayed Yogi Adityanath government’s move to introduce police commissionerate system in Lucknow and Noida terming it yet another step to hide the failure of his government on the law and order front.

“Besides the rising cases of crime against women with UP almost on top in terms of cases of sexual assault against women, the manner in which the state government failed to control violence during the recent anti-CAA protests and Lucknow witnessing arson and stone-pelting, it is evident that the government has completely failed to deliver on the law and order front,” Lallu said. He claimed introducing police commissioner system was a ploy to divert people’s attention from government’s failures.

Lallu further claimed that even the Supreme Court observed recently that there was ‘jungle raj’ prevailing in UP. “The blue-eyed officers of Adityanath holding key posts have been found to be indulging in sex chats, transfer-posting rackets and large-scale corruption, so the easiest way for the Adityanath government was to come out clean and hence the police commissioner system gimmick,” he alleged.

“The personal conduct of IPS officers is in question after the letter of former Noida SSP Vaibhav Krishna, found involved in sex chat, pointed how some senior IPS officers were minting money in transfers and postings under government’s patronage”, Lallu said, claiming that instead of going for an in-depth enquiry, Yogi showed more trust in IPS officers and introduced new policing system in Lucknow and Noida.

Lallu claimed that until the political interference of the government ended, no system could deliver on the law and order front by mere transfer of some powers.

He also pointed out that even the police commissionerate system was just an eyewash as the power to issue excise and arms licences still rests with the district magistrates and only magisterial power related to law and order has been given to the officers posted in Lucknow and Noida.",state-editions,https://www.dailypioneer.com/images/logo.jpg,https://www.dailypioneer.com/2020/state-editions/police-commissioner-system-a-gimmick--lallu.html
3,15-1-20,Newborn mauled to death by dog in hospital; probe ordered,"The district authorities in Farrukhabad have ordered a probe into a shocking incident in which a newborn was allegedly mauled to death by a dog inside the operation theatre of a private hospital on Monday.

District Magistrate Manvendra Singh said on Tuesday that an FIR has been registered and a probe ordered on the complaint of the newborn’s family.

Chief Medical Officer (CMO) Chandra Shekhar said the hospital has been sealed and a probe into the incident ordered. Family members of the neworn alleged that they noticed the hospital staff shooing away a dog from the operation theatre and soon afterwards, they were told the baby boy, born just two hours ago, was dead.

The aggrieved family members said they found the baby boy’s body on the floor and it had deep gashes around the neck and other parts. Sources said the hospital where the incident took place was unregistered and being run adjacent to a government hospital. As per the FIR lodged with Sadar Kotwali police, newborn’s father Ravi Kumar said he had admitted his wife Kanchan to the hospital on Monday and she was taken for a surgery the operation theatre.

After the delivery, Kanchan was shifted to the ward but the family was told that the baby would be shifted later. An hour later, the family was informed that the baby had died.

The family members then saw the hospital staff trying to chase a dog out of the operation theatre. They forced their way into the operation theatre and found the infant lying on the floor with several injuries on his neck. The police said that the baby’s body has been preserved for examination and autopsy.

Meanwhile, in two other sensational incidents, a brother duo were killed in Bijnore while a girl was allegedly raped by a teenager in Ballia and admitted to hospital in a critical condition. According to reports from Bijnore, Shivam (22) and Ashish (18) of Bankpur hamlet of Kiratpur in Bijnore disappeared under mysterious circumstances on Monday evening. Their father Devendra Singh and other family members searched for them and also reported the matter to local police. The matter took an ugly turn when on Tuesday morning, bodies of the brother duo were found lying in the nearby jungle of Gangawala.

The local police and family members rushed to the spot and found that one of the brothers had bullet injury while the other stabbed to death. The bodies of both the victims have been sent for the post-mortem and a team of forensic experts has been summoned to collect evidence from the spot. The family members were at a loss of words when asked about suspects. They claimed they had no major dispute with anyone.

In the Ballia incident, the victim had gone out to attend nature’s call on Monday when a 14-year-old boy raped her after taking her to a secluded spot, the police station in-charge said. She was admitted to a hospital where her condition was said to be critical. After the victim’s father lodged a complaint, an FIR was registered and efforts were on to nab the accused, the officer said.",state-editions,https://www.dailypioneer.com/images/logo.jpg,https://www.dailypioneer.com/2020/state-editions/newborn-mauled--to-death-by-dog--in-hospital---probe-ordered.html
4,15-1-20,Swatantra Dev Singh set to be elected BJP state president,"Swantra Dev Singh is set to be formally elected the president of BJP in Uttar Pradesh after the organisational polls on January 16. According to election officer and Urban Development Minister Ashutosh Tandon, the nomination process, including scrutiny and withdrawal, will be held on January 16 and, if required, polling and counting of votes on January 17.

As nomination will be filed only by present BJP president Swantra Dev Singh, he will be elected unopposed, sources said. During the election process, to be held at the state party headquarters here, the central party has appointed general secretary Bhupendra Yadav and former Bihar BJP president Mangal Pandey as observers. The filing of nominations will be held from 2 pm to 4 pm, scrutiny between 4 pm and 5 pm, and withdrawal between 5 pm and 7 pm on January 16. The new UP BJP president will be announced at 6 pm on January 16 after the time for withdrawal ends.",state-editions,https://www.dailypioneer.com/images/logo.jpg,https://www.dailypioneer.com/2020/state-editions/swatantra-dev-singh--set-to-be-elected--bjp-state-president.html
5,15-1-20,‘Take advantage of Govt schemes to help society’,"Chief Minister Naveen Patnaik on Tuesday urged the ex-Servicemen to take advantage of the State Government’s schemes in the interest of the society as a whole.

Patnaik was addressing a meeting on the occasion of the Veterans’ Day. “I appeal to the veterans to take advantage of various schemes being offered by the Government of Odisha so that they can contribute to society as well as make their own lives better,” he said.

Calling the ex-Servicemen and veterans as an “extraordinary” community, Patnaik praised their selfless service to the nation at the prime of their age and sacrifices for ensuring the nation’s sovereignty and integrity.

This day has rightly been dedicated to Field Marshal KM Cariappa, the first Commander in Chief of Armed Forces of Independent India, who is a guiding beacon for serving as well as veteran soldiers, Patnaik said. The Chief Minister also commended the contributions of the 120 Infantry Battalion for its exemplary relief work done in the aftermath of Cyclone Fani in May this year.

Patnaik also paid floral tributes at the Martyrs’ Memorial and felicitated widows of five veterans who had participated in World War-II. He said the State Government is committed for the welfare of the ex-Servicemen and make use of their rich potential in the service of the nation.

Brig BP Pattanaik (Retd) gave the welcome address in which he offered the service of Ex-Servicemen in working for the betterment of the State. He also stated that the Veteran fraternity is a huge repository of diverse skills and experience which can be tapped for the overall development of the society and the State.

Brig SS Dhadwal, Commander Chhattisgarh and Odisha Sub Area, was present besides prominent senior war veterans of Odisha like Lt Gen NP Padhi, Lt Gen Nayaran Mohanty, Air Marshal JN Burma and Col HS Mohapatra.",state-editions,https://www.dailypioneer.com/images/logo.jpg,https://www.dailypioneer.com/2020/state-editions/---take-advantage-of-govt-schemes-to-help-society---.html
6,15-1-20,‘Tanhaji’ declared tax-free in UP,"The Yogi Adityanath government has given tax exemption to Ajay Devgn-starrer period film ‘Tanhaji: The Unsung Warrior’. Devgn and his wife & actress Kajol thanked the CM for this move.

A government spokesman said here on Tuesday that the order to exempt state GST on the film based on the great Maratha warrior had been issued. “The decision was taken after producer & actor Ajay Devgn requested the state government to make the film tax-free in the state,” the spokesman said.

“The movie is a grand display of cultural pride and historical grandiose of the Marathas,” Chief Minister Yogi Adityanath said in a written statement. The Ajay Devgn-starrer details the ‘Battle of Sinhagad’ that was fought between Tanhaji Malusare, a military commander, under Chhatrapati Shivaji Maharaj and Uday Singh Bhan for the Kondana Fort. After a bitter duel between Tanhaji and Uday Bhan, the fort was reclaimed by the Marathas in the year 1670.

It was in this battle that Tanhaji Malusare had laid down his life while fighting Uday Bhan. In his honour, Chhatrapati Shivaji Maharaj had renamed the Kondana Fort as ‘Sinhagad’.

The decision of the government has also kicked up a political controversy as people are questioning as to why the government did not make ‘Chhapaak’ tax-free even though it is a movie based on acid attack victims.

‘Tanhaji...’ and ‘Chhapaak’ released at the same time across India. Many states like Rajasthan and Madhya Pradesh declared ‘Chhapaak’ tax-free last week. Deepika has portrayed the character of Laxmi Agarwal, who is an acid attack victim.

Acid attack victims operate Sheroes Hangouts in Lucknow and Agra. In one of these outlets, Laxmi Agarwal met director Meghna Gulzar and the idea of ‘Chhapaak’ clicked. Therefore, it is said to be UP’s film.

“The decision to give tax exemption to ‘Tanhaji...’ seems to be a political one. ‘Chhapaak’ was ignored because Deepika Padukone had supported anti-CAA protesters and taken part in a protest at JNU. ‘Chhapaak’ is UP’s movie and it deserves tax exemption because it highlights the plight of acid attack victims,” Amarnath Agarwal, a senior Congress leader, said.",state-editions,https://www.dailypioneer.com/images/logo.jpg,https://www.dailypioneer.com/2020/state-editions/---tanhaji----declared--tax-free-in-up.html
7,15-1-20,Yoda’s sacred bones brought to Dhauli for burial,"Two Japanese Buddhist monks from Osaka arrived with the sacred bones of Rev K Yoda, another Japanese Buddhist monk, who was the chief monk of the Dhauli Peace Pagoda and who passed away recently, here on Tuesday.

The two monks are Rev G Okonogi and Rev G Tanaka. The bones of Yoda will be buried at Dhauli, where his mother’s bones were buried in 1987.

Buddhist scholars Dr Bimalendu Mohanty, Dr Hari Patnaik and Mir Ajmat Ali were present when the monks arrived.",state-editions,https://www.dailypioneer.com/images/logo.jpg,https://www.dailypioneer.com/2020/state-editions/yoda---s-sacred-bones-brought-to-dhauli-for-burial.html
8,15-1-20,Demolition of old deals,"If Kerala has to survive as God’s own country, then it has to protect its fragile ecosphere from illegal development

The sight of four gigantic residential towers, built across a rich coastal ecosystem in Kochi’s Maradu, crumbling down like a pack of cards, was not just about the grossest violation of law but a cruel joke on home buyers. For they had invested their money as their unscrupulous realtors, believed to be in cahoots with local Government officials and politicians, made them believe their dream of living on a marina. And 10 years into their settled and charmed lives, all was gone. Though timely evacuation and appropriate compensation by the Kerala Government have provided some succour, it cannot be denied that they have been cheated and become gullible targets of the builder-administration nexus. It is in this sense that the Supreme Court’s demolition order, which was complied by the Kerala Government this week, serves as a deterrent in the real estate sector in the country in general, besieged as it is by corruption and malpractice. It also marks a paradigm shift in the way we treat our environment vis-a-vis development and becomes a template on what we should not do hereon. For Kerala, which has consolidated its tourism industry around the virginal and natural appeal of “God’s own country,” one that has triggered waterfront development, is at its worst phase of biosphere destruction. It is, therefore, imperative that its fragile balance be protected and made sustainable. The towers were situated on the shores of the Vembanad wetland, which strictly falls in the restricted zone under the provisions mandated by the Coastal Regulation Zone (CRZ). The limits set by the Ministry of Environment, Forest and Climate Change, which called for construction activities to be 50 metres away from the backwaters and mangrove forests and 20 metres away on islets, were flouted with impunity. According to the State Government’s own estimates, there are around 26,330 illegal buildings in 10 districts alone. As the dust of wrongdoings rises from the debris of the demolitions at Maradu, it’s not just the builders but political leaders responsible for the clearances, who must face the music.

The consecutive floods in the State have been indication enough of how illegal encroachments in the fragile backwaters have blocked the flow of natural waterways and forced a crisis every monsoon. This has already dented the tourism business badly, which contributes 12 per cent to the State’s GDP pie. The current demolition drive may force a number of projects to either scale down or shut shop altogether. With most resorts and hotels being built along river banks, they, too, may have to make changes. They must understand that undoing a wrong can prove more costly than a course

correction. And as much as land may be a challenge for the State, it just cannot afford shortcuts to jeopardise what sells most, its pristine coastline. The State seems to have got entangled in a web of its own making. A way has to be found out that involves reducing the over-dependence on tourism and looking at offsetting it with a boost to small and medium enterprises and setting up R&D and IT hubs. The alternative alone can wipe the grime of Maradu.",columnists,https://www.dailypioneer.com/uploads/2020/story/images/big/demolition-of-old-deals-2020-01-15.jpg,https://www.dailypioneer.com/2020/columnists/demolition-of-old-deals.html
9,15-1-20,Grow ideas to save farmers,"As suicides continue unabated, India needs fresh strategies for mitigating risk, enhancing productivity, income and strengthening market linkages for businesses and cultivators

Farmer suicides continue to plague the country. According to the latest data released by the National Crime Records Bureau (NCRB), 10,349 farmers committed suicide in 2018, which is only marginally less than the figures for 2016 when 11,379 cultivators took the extreme step. The figures for 2017 have been withheld in the report. Maharashtra leads the suicide list (17,972) followed by Tamil Nadu (13,896), West Bengal (13,255), Madhya Pradesh (11,775) and Karnataka (11,561).

Large swathes of cotton farms in central India have been the epicentre of a debt crisis that has gripped the rural population. For years now, this crisis has driven thousands of farmers to take their own lives. These suicides are not merely a loss of human lives, they are debilitating scars on our nation’s development canvas. While debates continue to rage on reforming the agricultural sector to improve the economic conditions of the growers, there has not been any attempt to focus on the possible psychological problems arising out of economic stress that may be leading to these actions.

For every cultivator who takes his own life, a family is hounded by the debt he leaves behind, typically resulting in children dropping out of school to become farm hands. Farmers’ suicides have to be tackled on several fronts and addressing mental health problems is just one of them but it is certainly a major part of the solution.

The lack of focus on marginal and sub-marginal farmers, tenants, sharecroppers, oral lessees and non-cultivator households has further compounded the agricultural conundrum. We need fresh thinking on strategies for mitigating risk, enhancing productivity and income and strengthening market linkages for businesses and farmers for better profits. Simplifying mortgage requirements and procedures, rationalising stamp duty for loans to small and marginal farmers and providing agricultural and business extension services in the farm and non-farm sectors respectively can go a long way towards providing resilience to the agricultural community.

Economic reforms and the opening of agriculture to the global market over the last two decades have made small farmers vulnerable to unusual changes and fluctuations. Small growers now have to compete with larger ones, who are well-endowed with capital, irrigation facilities and supplementary businesses to buffer them against any shocks. As a fallout, peasants are facing what has been called a “scissors crisis”, which is driven by the rising cost of inputs without a commensurate increase in output price.

Peasants take loans from moneylenders at exorbitant rates of interest in order to buy expensive transgenic seeds and high-cost fertilisers that allow them to merely feed themselves and their cattle. They hope for better yields in the future but this time never quite comes. Eventually, many farmers find themselves in a debt trap as they keep pursuing the vain mirage of a golden crop bonanza. Owing more than they earn, the steadiest of these workers have become gamblers at the highest of stakes, betting their land and their lives on a better crop. As debt mounts, many growers are now making a permanent escape from the physical and emotional pain by ingesting deadly pesticides.

There is an inextricable link between small holder farmers and the health of our planet, just as there’s a link between us and these small holder cultivators. They play a highly critical role in protecting the environment. Many small holder growers lack the resources they need to sustainably cultivate high-yielding, nutritious and marketable crops. The pressure to feed their families and sell their crops to pay off other debts means the soil is often overworked.

These cultivators have to be taught smart agriculture practices, like harvesting rainwater, using organic fertilisers and undertaking intercropping to preserve their soil. They must have access to more resources like small farm loans, real-time weather and pest updates. Information on accurate market prices for their crops can help them make the most of their farms all year-round.

Despite their vast numbers, small farmers are not a solidified group and have not developed their negotiating power. Social divisions among the rural population have been the main reason why rural voters have failed to push for policies that boost their incomes. The large size of this population and its heterogeneity limit its influence on public policy. Farmers’ refusal to give precedence to their economic interests over their other ethnic and caste loyalties have limited their influence over public policies.

The Government needs to revamp its services so that growers have access to the latest technology and field practices. Agricultural universities must be involved in creating tailored educational programmes that serve the diverse needs of the rural population. Peasants need to learn how to work with limited land in a productive and environmentally friendly way. They do not only need better plant species but also up-to-date guidance on how to grow them. They do not need high-tech tractors controlled by satellites but they do need access to regional databases that provide information on soil quality. They also need access to affordable capital so that they no longer pile up unmanageable debt loads.

Loan waivers are both “bad politics” and “bad economics.” Indebtedness is the most acute problem faced by small and marginal farmers. However, their borrowings are primarily from moneylenders and hence a loan waiver is not going to make any sense for them. It is the richer farmers who are the real beneficiaries of such populist policies.

The problems faced by small farmers are complex and require a ruthless political will to address them. Their landholdings are below the economically viable threshold — the result is the cyclical appearance of bad loans and poor rainfall. Loan waivers have little to do with ending the conditions that lead to such problems.

Debt relief programmes fail to provide assistance to landless farmers, who do not have access to bank loans and some other growers, who depend on money-lenders. The write-offs are a disincentive to the banking system because people have expectations of future waivers as well.

The borrowers see value in strategic defaults. While it is important for banks to make credit available to farmers so that they can leverage and do better, it is also important to maintain credit discipline.

Loan waiver schemes vitiate the credit culture and make it tougher for banks to continue lending to these segments. They create moral hazards in the financial system by rewarding those farmers who default on their loans, offering nothing to those who pay. They do not take into account the loans growers have taken from the informal sector. There is also no distinction between voluntary and involuntary defaults, so it actually rewards those that have willfully defaulted. Additionally, the scheme does not take into account climatic conditions and fertility of soil. Farmers in certain areas face a higher risk of crop loss on account of weather conditions.

One of the ways to promote a farm revolution and overcome the challenges faced by primary producers among small and marginal farmers is to design a livelihood and development strategy that entails collectivising and strengthening them through Food Producer Organisations (FPOs) and integrating them into an inclusive value chain. It offers end-to-end support to small farm holders. These mutual aid organisations, whose members pool their expertise and part of their savings, become self-propagating in course of time.

As the value chain stabilises, it could be upgraded to have a more-complete ecosystem of private and public-sector actors at every link in the value chain. Throughout this process, it is necessary for the farmers and FPOs to create an improved ecosystem in which secure, independent livelihoods become attainable for marginalised small farmers.

The underlying principle that the value chain follows is similar to that of the full stack approach. This approach makes the sponsor responsible for every part of the experience. Uber, for example, handles everything from connecting people with a driver to managing payment and ratings. In the context of agriculture, the full stack approach includes helping farmers identify what to grow and how to grow it, what technology to use and when and where to sell at what price.

While farmers continue to work out strategies to keep their age-old bond with their land alive, the new generation finds farming unsustainable. This is the key reason behind its influx to cities despite the hard truth that the new utopian world the migrants hope to discover is a mere chimera. India needs to arrest this influx and inject the rural economy with new skill development programmes to generate local employment. That is the right way of saving both the cities and villages.

(The writer is Member, NITI Aayog’s National Committee on Financial Literacy and Inclusion for Women.)",columnists,https://www.dailypioneer.com/uploads/2020/story/images/big/grow-ideas-to-save-farmers-2020-01-15.jpg,https://www.dailypioneer.com/2020/columnists/grow-ideas-to-save-farmers.html
