,Date,Title,Article,Category,Image_link,Article_link
0,29-3-20,Sonia asks Rae Bareli DM to use her LAD fund for virus fight,"



|

Congress president Sonia Gandhi has written a letter to the district magistrate of Rae Bareli, asking the officer to use as much money from her Local Area Development fund as was needed to help people against coronavirus.

The Lok Sabha member from Rae Bareli said that in view of the spread of coronavirus across the country, people of Rae Bareli should exercise caution and strictly follow the directions issued by the Health department and district administration.

Appealing to Rae Bareli district administration, Sonia said that sanitisers, face masks, soaps, etc should be distributed and special care should be taken of daily wage labourers, homeless and elderly people.

She added that as a representative of the people, she was committed towards providing any help needed at this crucial hour.

Earlier, extending her support to Uttar Pradesh government in the hour of crisis due to spread of coronavirus, Congress general secretary Priyanka Gandhi Vadra said that it was the time to rise above differences, unite and fight the situation for betterment of the country.

In a letter to Chief Minster Yogi Adityanath, Priyanka urged him to ensure that people of the state, especially the poor and deprived, did not face any further difficulty.

She said that the situation arising from the virus spread had hugely impacted labourers, construction workers, destitutes, petty sellers, widows, etc and requested the chief minister to ensure that benefits of schemes or announcements made for them, reached them. Priyanka said that numerous people, hitherto working in other states, were now trying to return to their homes by travelling long distances, even on foot.

“The government also made some announcements in this regard and hence I request that ensuring the return of these workers should be conducted in a smooth manner. If large number of people are still in transit, they be given shelter at government schools, colleges and necessary arrangements be made for them,” she added.

Extending her party’s full support, Priyanka said that while following all rules, Congress workers were ready to provide every aid in this trying times. She said that the Congress had readied a team of volunteers and also helplines in each district for helping the needy and the administration at all times and the state government could use their services for relief works.",state-editions,https://www.dailypioneer.com/images/logo.jpg,https://www.dailypioneer.com/2020/state-editions/sonia-asks-rae-bareli-dm-to-use-her-lad-fund-for-virus-fight.html
1,29-3-20,Centre gives relief to power discoms,"In a major relief to power distribution companies (discoms), the Union government relaxed norms for payment to private thermal power generation companies.

The discoms pay their dues through payment security mechanism of Letter of Credit (LC) for ensuring timely payment to power generation companies .

“Many consumers of discoms are unable to pay their dues and this has critically affected liquidity of the discoms. This in turn has affected their financial position and ability to make timely payments to generating and transmission companies and maintaining Letter of Credit,” says an order from the Ministry of Power dated March 27.

“Considering the unprecedented and force majeure situation, it has been decided that power may be scheduled even if payment security mechanism is established for 50 per cent of the amount for which payment security mechanism is to be otherwise established contractually. This order shall be in effect till June 30, 2020,” the Power Ministry order said.

The Union government relaxed the condition to support discoms that are finding it difficult to collect payments for bills raised on consumers in light of COVID-19 lockdown.

All India Power Engineers Federation had urged Prime Minister Narendra Modi earlier this week to intervene in the prevailing crisis due to the lockdown.

AIPEF chairman Shailendra Dubey said that power engineers welcomed the step taken by the Union Ministry of Power. He said that the AIPEF had requested the Centre to issue direction to the RBI to allow state power utilities to defer repayment of principal and interests at least for three months.

As per AIPEF, power demand in the states has come down by 20-30 per cent and their major source of income from high-end earning sources like Railways, industrial and commercial consumers have been blocked due to complete shutdown.

These measures have resulted in a sudden slump in power bill collections of discoms by 80 per cent over the last few days. The sudden fall in collections has rendered the discoms unable to make daily payments not only to generators, which in turn is affecting coal payments and coal transport by Railways, but also debt servicing to banks and financial institutions.",state-editions,https://www.dailypioneer.com/images/logo.jpg,https://www.dailypioneer.com/2020/state-editions/centre-gives-relief-to-power-discoms.html
2,29-3-20,"UP to release 11,000 prisoners for 8 weeks","The Uttar Pradesh government ordered the release of around 11,000 convicts and undertrials housed in 72 jails of the state to ease overcrowding and thereby prevent the spread of coronavirus.

A high-level committee headed by senior judge of Allahabad High Court, Justice Pankaj Kumar Jaiswal, and two members, Additional Chief Secretary (Home) Awanish Awasthi and DG (Jails) Anand Kumar made the recommendation to the government which was approved by Chief Minister Yogi Adityanath on Saturday.

Of the prisoners to be released are 8,500 under- trials and 2,500 convicts.

Earlier, the Supreme Court had ordered all states to consider the release of convicts on parole, whose punishment was not of more than seven years, so that the jails could be saved from overcrowding to prevent the spread of virus among prisoners.

As per officials, undertrials would be given bail for eight weeks on personal bonds while the convicts would be given parole for eight weeks in a similar manner.

Presently, against total capacity of 60,580 in 72 jails of the state, over one lakh inmates are lodged there. The most overcrowded jails are Jaunpur with 1,221 inmates against a capacity of 320, Lalitpur with 433 inmates against capacity of 122, Saharanpur with 1,650 inmates against capacity of 533, Shahjahanpur with 1,407 inmates against capacity of 511 and Budaun with 1,411 inmates against capacity of 529.

Jails with low occupancy are Gautam Buddha Nagar with 2,795 inmates against a capacity of 3750, Kasganj with inmates 760 against capacity of 1,050, Ambedkarnagar with 264 inmates against capacity of 971, Chitrakoot with 593 inmates against capacity of 862 and Model Jail in Lucknow with 463 inmates against its capacity of 600 prisoners.

With the release of prisoners on bail or parole, jail authorities would be able to ensure safe social distancing as recommended to prevent the spread of coronavirus.

",state-editions,https://www.dailypioneer.com/images/logo.jpg,https://www.dailypioneer.com/2020/state-editions/up-to-release-11-000-prisoners-for-8-weeks.html
3,29-3-20,VHP calls off 84-kosi parikrama,"



|

Vishwa Hindu Parishad has cancelled the 84-kosi parikrama in view of the COVID-19 pandemic.

The 252-km circumambulation around what is believed to have been Lord Ram’s empire, was to start on April 8 and would have passed through Ayodhya, Barabanki and Gonda.

Ayodhya-based VHP spokesperson Sharad Sharma said, “Last year, about 1,000 people participated in the parikrama but this year the parikrama has been cancelled as we need to stand in solidarity with the government and society against coronavirus. Religious and social rituals will survive only when the nation is protected.”

The parikrama cannot be postponed as it has to take place in Chaitra, the first month of Hindu calendar.

The decision for cancelling the parikrama was taken by Sri Ram Janmabhoomi Teerth Kshetra Trust chairperson Mahant Nritya Gopal Das and secretary Champat Rai in consultation with top leadership of the VHP.

“Preparations for the parikrama were complete. Seers from across the country would have been in Ayodhya for it. However, the country and society come first. If they are safe, then the parikrama can happen next year,” Sharma said. The VHP had scaled down Sri Ram Mahotsav celebration this year despite expectation that millions of devotees would congregate at Ayodhya to celebrate the Supreme Court verdict on the Ram Janmabhoomi-Babri Masjid title suit.

A section of the media had, however, recently reported that Mahant Nritya Gopal Das had asked devotees to flock into Ayodhya to celebrate Ram Navami on April 2.

Reports also claimed that the local administration had failed to reason with the Sri Ram Janmabhoomi Teerth Kshetra Trust on the enormity of the problem.

But Sharma dismissed them as ‘malicious’.

“Our ancestors have said that it is only when society is safe that religious and social obligations can be followed and places of worship flourish. We stand in solidarity with the government’s decision to enforce lockdown which might be a short term inconvenience,” he said.",state-editions,https://www.dailypioneer.com/images/logo.jpg,https://www.dailypioneer.com/2020/state-editions/vhp-calls-off-84-kosi-parikrama.html
4,29-3-20,UP Govt: Nobody will die for want of food,"



|

Declaring that no one would die of hunger in Uttar Pradesh, Additional Chief Secretary (Home) Awanish Awasthi said that community kitchen and doorstep delivery of food items had eased the situation with the masses getting essential commodities at home.

“Community kitchens have started serving people who are poor and have lost employment due to the lockdown. Till date, 527 kitchens are functioning and catering to 1.37 lakh people,” Awasthi told media persons in Lucknow on Saturday.

The additional chief secretary said that people who were on roads were being fed at every place even as Chief Minister Yogi Adityanath exhorted them to stay at one place so that the district authorities could take care of their needs.

Awasthi said that doorstep delivery of food items had been a success as the number of delivery vans had gone up to 26,298.

“Besides, the government has roped in 8,833 provision stores to deliver products at homes while 8,852 vans are being used for supply of over 15 lakh litres of milk,” he said.

Talking about the supply of foodgrains through Public distribution system (PDS), Awasthi said that of the 3.23 crore ration cards in the state, 1.94 crore had been given foodgrains so far and 70 lakh below poverty line (BPL) card holders had been given free ration.

The additional chief secretary said that 58,552 gram pradhans were contacted through the CM Helpline along with 11,000 counsellors to make them aware about the facilities.

Besides, he said, 11,900 complaints received on CM Helpine 1076 were resolved.

Giving details of the action taken against people for violating lockdown, Awasthi said that 4,642 FIRs were registered against 14,115 accused under Section 188 of the Indian Penal Code. Besides, he said, 24 FIRs were registered against traders selling products at higher rates.",state-editions,https://www.dailypioneer.com/images/logo.jpg,https://www.dailypioneer.com/2020/state-editions/up-govt--nobody-will-die-for-want-of-food.html
5,29-3-20,"UP govt arranges 1,000 buses for stranded migrant workers","



|

The Uttar Pradesh government has provided 1,000 buses, both state-run and private, for transportation of migrant workers and their kin stranded on Delhi-UP border, some of whom had even started to walk home.

Information Advisor to Chief Minister, Mritunjay, said that the chief minister was quite concerned about the plight of these people since Friday and held a meeting with Transport department officials wherein it was decided that the government would send a fleet of buses to ensure that these people reached their homes.

“We needed almost 1,000 buses as not only people from UP but also from Bihar were stranded on Delhi-UP border. Their evacuation and safe transit were priorities for the government,” he said.

However, politics started over the issue as UP officials claimed that these people were driven out of Delhi and dropped on the UP border.

“This is unfortunate on part of Delhi Chief Minister Arvind Kejriwal to dump these hapless people at this crucial juncture as the entire country is fighting against coronavirus. UP Chief Minister Yogi Adityanath has written to all chief ministers to take care of people from UP and has said that the UP government is ready to pay for that,” Mritunjay said.

The advisor to the UP chief minister charged that the Delhi government did nothing to provide essentials like food, milk and other necessities during the lockdown and instead triggered rumour that the UP government was making arrangements of buses to ferry them home.

“The Delhi government even transported these migrants from their homes to UP-Delhi border by DTC buses which created a huge problem for UP,” he said.

Mritunjay further said that the migrants had to face severe hardship and some even complained that their electricity and water connections were disconnected and they were virtually forced to starve.

“But the Yogi government took a call and arranged drivers and conductors and sent these buses to the state border to provide relief to these migrants,” he said.

The buses were arranged from Ghaziabad, Noida, Bulandshahar, Hapur and other bordering districts.

“A large number of migrants along with their families were provided food and other essentials at the border along with transportation to their respective villages,” the official said.

Earlier, Additional Chief Secretary (Home) Awanish Awasthi said that as precautionary measure, district officials were asked to immediately deploy two medical teams at major bus stations and one at small bus stations.

“As soon as any bus carrying labourers from Ghaziabad/Noida arrive, immediate medical check-up should be done without fail,” Awasthi said.",state-editions,https://www.dailypioneer.com/images/logo.jpg,https://www.dailypioneer.com/2020/state-editions/up-govt-arranges-1-000-buses-for-stranded-migrant-workers.html
6,29-3-20,Street vendors to get Rs 3K aid,"Chief Minister Naveen Patnaik on Saturday announced a financial aid of Rs 3,000 for each of the 65,000 registered street vendors in 114 ULBs cross the State.

Notably, these street vendors have suffered financially as they have kept their shops closed as a measure to maintain social distancing for checking spread of deadly novel coronavirus (COVID-19) for a few days now.

Besides, the Chief Minister also announced that 100 to 200 poor people would be provided cooked food in each gram panchayat from Sunday. SHGs would be entrusted the responsibility of cooking and distributing cooked meals. Poor people can take cooked food from SHGs and eat the meals in their respective houses, said the Chief Minister in an official release.

He said that about 10 lakh poor and distressed people would benefit from the scheme.

On Friday, the Chief Minister had announced distribution of ration items to poor people for three months and old-age pension for four months. He urged people once again to stay home and remain safe from COVID-19.",state-editions,https://www.dailypioneer.com/images/logo.jpg,https://www.dailypioneer.com/2020/state-editions/street-vendors-to-get-rs-3k-aid.html
7,29-3-20,Lessons to learn,"These are difficult times. More importantly, these are times to learn some most basic lessons which humanity forgot in its ambitious march to conquer everything. As the threat of Covid-19 spreads, mankind realises how vulnerable it is in the face of a crisis that emanates from the nature. The difficulties have their own lessons to offer. They are testing human resilience in times of adversity. That mankind will emerge from this is also certain. History has proved this time and again. Of course, a price was paid each time, but what mattered was the indomitable will to survive from the crises. However, the essential point was that with time the same mistakes that led to those crises were forgotten and the same pursuits went on. Human beings have hardly learnt from their past mistakes and their memories are woefully short. But the micro-organisms keep on learning from their past and continuously adapt to regain their strike power. The multidrug resistant micro-organisms that give rise to the same old diseases that struck humanity ages ago keep on bouncing back. The coronavirus that has struck this time with a vengeance is a grim reminder of this basic fact. The adaptability of the virus is something that must give humanity a lesson or two. There are other lessons, too, that the present crises offers. First and foremost, that despite those geographical boundaries, racial and cultural differences, the uniformity in reaction to this corona threat proves emphatically that humanity has a common thread. And the collective unconscious hypothesis of Carl Jung holds goods. Rightly did Napoleon opine that two things unite humanity — fear and self-interest. Look the way people are reacting globally. Same ‘me first’ mind set where it comes to survival interest, and same ‘me-not’ mind set when it comes to threat. Though it is rather a tall order, yet can we not think of others, for a change? Rather than thinking of buying provisions to last till eternity can we not think of leaving something for the others to buy? An extreme example is that of the people of the United States of America who as per newspaper reports are going for panic buying of guns and cartridges. And the reason is quite strange. It is based on a chain of assumptions. First that the virus threat will last long. Second, if it lasts long there will be scarcity of basic necessities. Third, the deprived will be forced to think of snatching and looting those who have it. So the conclusion is that the guns will have to be used for defense. The point is how much can be stored and how many can be kept at bay by fire power. Sanity is giving way to vanity. To quote former President of the US, John F Kennedy — “If a free society cannot help the many who are poor, it cannot save the few who are rich”. We need to learn to share our resources in these trying times. In times of crises that threaten collectively, we need to stand collectively. Not just for me and myself but for us. These adversities are times that test not just our wit and grit, but also our character. There is little justification of people running from isolation wards and risking others. Behaving responsibly is what these times call for. Time to be human and act human.

Pathak is a professor of management, writer, and an acclaimed public speaker. He can be reached at ppathak.ism@gmail.com",columnists,https://www.dailypioneer.com/uploads/2020/story/images/big/lessons-to-learn-2020-03-29.jpg,https://www.dailypioneer.com/2020/columnists/lessons-to-learn.html
8,29-3-20,Lessons to learn from deferral of Olympics,"Keeping the global preparedness in mind, we all must realise the fact that we need a robust strategy, particularly public health emergency to handle pandemics like Covid-19. Life certainly comes first; therefore creating kerfuffle around such crisis is a folly. Rather, we must gather courage to fight the menace out and look forward to Tokyo 2021 with renewed vigour and conviction

The International Olympic Committee (IOC) at last postponed the Tokyo Olympic 2020 for a year. Echoing the sentiments of the sporting community world over, its president Thomas Bach said, “These postponed Olympic Games will need compromises by all of the stakeholders.” It’s not only Japan, particularly the city of Tokyo, but also thousands of sportspersons and allied agencies who were supposed to be an integral part of this landmark event have all been hit by the deadly Covid-19.

The historic flame of the Olympic was handed over by Hellenic Olympic Committee president Spyros Capralos to Naoko Imoto (former Olympian swimmer), who represented the Tokyo Organizing Committee, on March 19. And the flame reached Japan through a special aircraft named “Tokyo 2020 Go”. As a significant part of the Olympic Movement, the flame is quite often linked to the messages of hope and peace. The Tokyo 2020 torch relay concept known as “Hope Lights Our Way” was designed to unite the entire Japanese people with emotion. But then unfortunately, before the flame was to be started from Fukushima to the rest of Japan on March 26, the IOC took the historic decision to push the Games to the next year. Though it was nearly sure for an immediate cancellation of the Tokyo Games, yet the Japanese Government was hoping against all odds to organise it.

The opening ceremony for the Olympic Games was supposed to start on July 24 and the Paralympics were scheduled from August 25. Interestingly, Tokyo, one of the most populous cities in the world, was going to host the largest sporting event of the globe. By the end of the 2019, the organisers calculated the total cost of the Games around 1.33 trillion yen i.e. 1.12 billion Euros.

And this entire cost was incurred by three parties --- the City of Tokyo, the Japanese Olympic Organizing Committee and the Central Government of the country. But the experts say the real cost of organising this mega event would be ten times higher than what has been revealed in public so far.

The mascot of the Tokyo 2020 “Miraitowa” has a personality inspired by the Japanese proverb, “learn from the past and develop new ideas”. It is taken from Japanese words, “mirai” meaning “future” and “towa” meaning “eternity”. Thus this mascot represents the idea that this game will lead to a future of everlasting hope in the hearts of everyone around the world.

If we look at the history we observe that it was only the historic World Wars that led to the cancellation of the Olympics in the past. But the current trend is that other phenomena such as politics, terrorism and pandemics with global underpinnings have forced all of us to call of such sports extravaganzas. Since the opening of the Modern Olympic Games in Athens (Greece) in 1896, the game has only been cancelled three times --- first during the World War I in 1916, second and third time during the World War II in 1940 and 1944. It must be noted here that until the advent of coronavirus pandemic, that has forced the IOC to postpone the Olympic, the game has weathered all other crises in the past. In 1916, the German Empire was to host the Olympic but with the outbreak of the First World War, it was simply cancelled.

Many of the nations who were to send participants to the games had eventually indulged into the war. In 1940, the Summer and Winter Olympics were to be held in Japan, but it forfeited its rights as it got involved in a war with China. Else Japan would have been the first non-Western country to host the games. Again London was to host the Games in 1944 and because of the Second World War, it was summarily cancelled.

Though opinions vary, economic analysts simply come to one single point: As the Games has been postponed, the toughest task for the Japanese economy would be to wading through the prolonged pandemic in the days to come. Now, the rechristened Olympic 2021 will have to be planned entirely on the basis of a new global sports calendar.

And also Bach clarified that rescheduling is not restricted just to the summer months. All the options are on the table, before and including the summer of 2021. The IOC has given the responsibility to a task force called “Here We Go” to find out all possibilities for organise this historic event held once in four years. The team’s job is to interact with probably 33 sports federations and to look into the world sports calendar so as to plan the grand Olympic 2021.

But what now seems is that the IOC is working with the other sports organisations to arrange a July-August window to fix the dates for Tokyo Olympics 2021. This time could be better as the Tennis Grand Slams of Wimbledon and the US Open slated to end respectively in mid-July and in late August. John Coates, the chief of the Coordination Commission of the IOC is hopeful that within a month the final dates for Olympic 2021 may be locked.

It is also agreed that more or less the same arrangements would be there for the Games in 2021 such as the planning the marathon in northern city of Sapporo instead of Tokyo to escape the heat. This would be finally boosting the lost morale of many investors and sponsors of various events as now they all could focus on channelising their resources.

Hope lies ahead for sure. The health experts, researchers and pharmaceutical enterprises all together are working hard to bring out an effective drug to stop the deadly Covid-19. At this juncture, the world community badly demands leadership and unity among the nations. Accusing one another for spreading the virus and movement of the migrants would not definitely provide us any solution. It’s just a virus and a lethal one. Countering the same requires precaution first and of course timely supply of drugs at an affordable price.

Taking hard decisions and then delivering better is a daunting task. What Bach looks forward is simply this only. Even he is eyeing on all options, and one of them could be planning the games just before the start of the Japanese summer season.

At this gloomy scenario, mixed feelings are being aired by sportspersons all around the world. This deferring may lead to an end of the active careers of our time. Because some of the greats, like Michel Phelps, who have been named as the most decorated athlete in Olympic history, is now talking about the “mental health” of the players across the world. To him the postponement is nothing but a “total bamboozle” so to say. Yes it’s true. Many of them would be suffering from high levels of depression.

Certainly apart from ones who are purely garrulous, we must understand the depth and impact of the Covid-19. Postponing at this moment is not a gaffe; it is absolutely a wise decision.

Fighting this pandemic is like a countering a “Third World War”, but without arms and ammunition. The last two World Wars had witnessed the pouring of large sums of money, muscle power and sophisticated weapons, including the most deadly atomic bombs. But then still we are all looking for an opportunity to fight, though not a real war, but of course a virtual one. Days of sabre-rattling have gone. A real and extremely poisonous threat in the form of Covid-19 has taken a toll on humanity for now.

Keeping the global preparedness in mind, we all must realise the fact that we need a robust strategy, particularly public health emergency to handle such epidemics. Life certainly comes first; thus creating kerfuffle around such crisis would only lead to more panic among the commoners. The global sports community must be really hopeful that this pandemic will teach all of us a strong lesson to usher into a Tokyo 2021 with renewed vigour and conviction.

(The writer is an expert on international affairs)",columnists,https://www.dailypioneer.com/uploads/2020/story/images/big/lessons-to-learn-from-deferral-of-olympics-2020-03-29.jpg,https://www.dailypioneer.com/2020/columnists/lessons-to-learn-from-deferral-of-olympics.html
9,29-3-20,India has not lost its head in corona crisis,"A national lockdown has been successfully undertaken in a country of India’s size and diversity.

I don’t know if the lockdown will achieve its objectives. I pray it does. But regardless of the outcome, how we have conducted ourselves makes me proud to be an Indian. It also makes me proud of our leader

As of Saturday morning (9.45 am), the fourth day of the national lockdown, the number of coronavirus cases in India has touched 873. Does this mean that we are still behind the curve or, as many of the “experts” suggest, this is just the lull before the country experiences the pandemic tsunami?

Like the overwhelming majority of India, I don’t know. Over the past three weeks all of us have been subjected to so many conflicting versions of this global epidemic that has changed the world in ways that none of us thought was possible that we have stopped trying to be amateur pundits. When the WHO announced that every corner of the world was vulnerable to the what President Donald Trump evocatively describes as the “Chinese virus”, every person seemed to have a view of what needed and didn’t need to be done. These ranged from doing as little as possible but acquiring immunity through different means to suggesting policy prescriptions. Today, the voices of the loud know-alls are becoming less and less heard. The “experts” have their views, but no one is sure whether this expert view will outlive 48 hours.

A strange form of collective helplessness is visible. As law-abiding citizens, the overwhelming number of Indians have confined themselves to their homes, hoping that after April 15 they will be able to pick up the pieces and return to the daily routine. Meanwhile, watching a re-run of the Ramayan, what many of us experienced each Sunday morning in the late-1980s, will have to suffice.

In moments such as this, there is an irresistible temptation to outsource decision-making to a higher authority. For most it is God — articulated in different ways. But this unseen force isn’t the only one we bank on. The secular authority we put our trust in moments of anxiety is the Government. Although the trust is never blind, there is the temptation to let others — with information, expertise and resources at their command — take decisions and do the thinking on our behalf. This relationship of the citizen with the state is based on trust and — but only to a limited extent — coercion. If the trust broke down, there is no lathi-waving policeman who would succeed in imposing a national lockdown.

In recent history there are times when either trust breaks down completely or competing authorities start pulling in different directions. I always cite the example of what happened in France in the spring of 1940 when the German army broke through the seemingly impregnable Maginot Line. The authority of the all-powerful French state broke down and produced social chaos. It was this upheaval that led to collaboration with the Germans and the trust placed in Marshal Petain and his fragile Vichy regime.

It may sound politically incorrect to say so, but imminent military defeat does not always lead to social breakdown and chaos. By the beginning of 1945, for example, it was sufficiently clear that the collapse of Nazi Germany was only a matter of time. There was just no way that Hitler’s regime would be able to withstand the combined might of the USA and the Soviet Union. The Germans didn’t give up and fought bitterly, despite the huge military and civilian casualties. But what has escaped attention is the fact that an unending tale of military defeats since mid-1944 and the decimation of nearly every German city by enemy bombers didn’t lead to a social breakdown, as happened with less provocation in France. Till the very end the authority of the German state remained intact.

It is of course possible to read these two experiences with reference to the type of regimes France and Germany had at these moments of upheaval. France in 1940 was democratic while Germany in 1945 was a regimented, totalitarian state. Maybe totalitarian states have a better record of holding a society together in times of crisis. If, for the moment, the theory of COVID-19 being a grand Chinese conspiracy is ignored, it is worth looking at the relative success of the authorities in managing the total lockdown of Wuhan. True, the extent of inconvenience was perhaps understated by the absence of an open media and the rigid control that the state maintains over its citizens. But in the face of the pandemic, such extreme measures can be condoned.

It is the inability of democracies to emulate the Wuhan model that has led to Western European countries shying away from cracking the whip, leaving the last mile to people’s good sense and failing to meet the desired objective. Apart from Northern Italy and Spain where the number of deaths have skyrocketed, most other democratic countries have faltered in imposing lockdowns.

It is in this context that the national lockdown in India must be seen. Frankly, if it hadn’t been Narendra Modi at the helm, lesser leaders would have preferred to have settled for half-measures, citing a combination of economic constraints and human deficiencies. India is a democracy and there is total freedom for intellectuals, contrarians and the fifth columnists to point to deficiencies, real and imaginary. The international media, particularly those based in the Anglophone world, also find it easy to present India as a land of chaos, heartlessness and stupid bigotry. There is enough in the subcontinent to feed this appetite. But what needs careful scrutiny is the fact that a national lockdown has been successfully undertaken in a country of India’s size and diversity. The economic costs of this lockdown will be unimaginably high. But the fact that we have put people over money is reason enough to believe that India hasn’t lost its head in a crisis.

I don’t know if the lockdown will achieve its objectives. I pray it does. But regardless of the outcome, how we have conducted ourselves makes me proud to be an Indian. It also makes me proud of our leader.",columnists,https://www.dailypioneer.com/images/logo.jpg,https://www.dailypioneer.com/2020/columnists/india-has-not-lost-its-head-in-corona-crisis.html
